query,rank,doc_id,score,document
machine learning,1,0,2.191493,machine learning is a subset of artificial intelligence
machine learning,2,4,0.529848,reinforcement learning trains agents through rewards
machine learning,3,5,0.529848,supervised learning uses labeled training data
machine learning,4,6,0.499523,unsupervised learning discovers hidden patterns in data
machine learning,5,1,0.472481,deep learning uses neural networks with multiple layers
machine learning,6,2,0.0,natural language processing handles text and speech data
machine learning,7,3,0.0,information retrieval finds relevant documents for queries
machine learning,8,7,0.0,calibration measures how well predicted probabilities match outcomes
neural networks,1,1,3.438023,deep learning uses neural networks with multiple layers
neural networks,2,0,0.0,machine learning is a subset of artificial intelligence
neural networks,3,2,0.0,natural language processing handles text and speech data
neural networks,4,3,0.0,information retrieval finds relevant documents for queries
neural networks,5,4,0.0,reinforcement learning trains agents through rewards
neural networks,6,5,0.0,supervised learning uses labeled training data
neural networks,7,6,0.0,unsupervised learning discovers hidden patterns in data
neural networks,8,7,0.0,calibration measures how well predicted probabilities match outcomes
document retrieval,1,3,1.817397,information retrieval finds relevant documents for queries
document retrieval,2,0,0.0,machine learning is a subset of artificial intelligence
document retrieval,3,1,0.0,deep learning uses neural networks with multiple layers
document retrieval,4,2,0.0,natural language processing handles text and speech data
document retrieval,5,4,0.0,reinforcement learning trains agents through rewards
document retrieval,6,5,0.0,supervised learning uses labeled training data
document retrieval,7,6,0.0,unsupervised learning discovers hidden patterns in data
document retrieval,8,7,0.0,calibration measures how well predicted probabilities match outcomes
probability calibration,1,7,1.719011,calibration measures how well predicted probabilities match outcomes
probability calibration,2,0,0.0,machine learning is a subset of artificial intelligence
probability calibration,3,1,0.0,deep learning uses neural networks with multiple layers
probability calibration,4,2,0.0,natural language processing handles text and speech data
probability calibration,5,3,0.0,information retrieval finds relevant documents for queries
probability calibration,6,4,0.0,reinforcement learning trains agents through rewards
probability calibration,7,5,0.0,supervised learning uses labeled training data
probability calibration,8,6,0.0,unsupervised learning discovers hidden patterns in data
